subject,party,prime_type,rating,self_exclusion_1,complete_data,prime_identity
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_B,0,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_A,1,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_A,1,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_A,1,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_A,1,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_B,0,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,5
