"date","time","subject","blockcode","blocknum","trialcode","trialnum","values.primestim","values.targetstim","correct","latency","trial.prime_obama.totalpercentcorrect","trial.prime_trump.totalpercentcorrect"
"081218","08:44:38","648364945","practice","1","prime_obama_practice","11","0","0","0","640","0","0"
"081218","08:44:38","648364945","practice","1","prime_trump_practice","12","0","0","1","317","0","0"
"081218","08:44:38","648364945","practice","1","prime_obama_practice","13","0","0","1","550","0","0"
"081218","08:44:38","648364945","test","2","prime_trump","2","5","9","0","682","0","0"
"081218","08:44:38","648364945","test","2","prime_trump","3","3","20","1","486","0","50"
"081218","08:44:38","648364945","test","2","prime_trump","4","2","17","0","538","0","33"
"081218","08:44:38","648364945","test","2","prime_trump","5","1","3","1","502","0","50"
"081218","08:44:38","648364945","test","2","prime_trump","6","4","5","1","458","0","60"
"081218","08:44:38","648364945","test","2","prime_obama","7","2","43","1","494","100","60"
"081218","08:44:38","648364945","test","2","prime_obama","8","2","67","1","476","100","60"
"081218","08:44:38","648364945","test","2","prime_trump","9","5","65","0","295","100","50"
"081218","08:44:38","648364945","test","2","prime_obama","10","5","53","1","508","100","50"
"081218","08:44:38","648364945","test","2","prime_trump","11","6","50","0","348","100","42"
"081218","08:44:38","648364945","test","2","prime_obama","12","1","6","0","634","75","42"
"081218","08:44:38","648364945","test","2","prime_obama","13","3","22","1","367","80","42"
"081218","08:44:38","648364945","test","2","prime_obama","14","4","40","1","401","83","42"
"081218","08:44:38","648364945","test","2","prime_trump","15","5","59","1","422","83","50"
"081218","08:44:38","648364945","test","2","prime_trump","16","2","47","0","410","83","44"
"081218","08:44:38","648364945","test","2","prime_obama","17","6","18","1","558","85","44"
"081218","08:44:38","648364945","test","2","prime_trump","18","4","29","0","584","85","40"
"081218","08:44:38","648364945","test","2","prime_trump","19","6","10","1","321","85","45"
"081218","08:44:38","648364945","test","2","prime_obama","20","4","24","0","470","75","45"
"081218","08:44:38","648364945","test","2","prime_trump","21","3","42","1","353","75","50"
"081218","08:44:38","648364945","test","2","prime_obama","22","1","27","0","509","66","50"
"081218","08:44:38","648364945","test","2","prime_trump","23","1","71","1","390","66","53"
"081218","08:44:38","648364945","test","2","prime_trump","24","4","39","0","492","66","50"
"081218","08:44:38","648364945","test","2","prime_trump","25","2","55","1","404","66","53"
"081218","08:44:38","648364945","test","2","prime_obama","26","6","23","0","474","60","53"
"081218","08:44:38","648364945","test","2","prime_obama","27","3","51","1","1103","63","53"
"081218","08:44:38","648364945","test","2","prime_obama","28","5","37","1","539","66","53"
"081218","08:44:38","648364945","test","2","prime_obama","29","2","46","0","397","61","53"
"081218","08:44:38","648364945","test","2","prime_obama","30","6","21","1","479","64","53"
"081218","08:44:38","648364945","test","2","prime_obama","31","5","7","1","509","66","53"
"081218","08:44:38","648364945","test","2","prime_trump","32","5","66","1","585","66","56"
"081218","08:44:38","648364945","test","2","prime_trump","33","6","31","1","476","66","58"
"081218","08:44:38","648364945","test","2","prime_obama","34","4","48","1","756","68","58"
"081218","08:44:38","648364945","test","2","prime_trump","35","1","44","0","196","68","55"
"081218","08:44:38","648364945","test","2","prime_trump","36","3","11","1","647","68","57"
"081218","08:44:38","648364945","test","2","prime_trump","37","3","16","0","330","68","55"
"081218","08:44:38","648364945","test","2","prime_obama","38","3","61","1","508","70","55"
"081218","08:44:38","648364945","test","2","prime_obama","39","1","63","0","504","66","55"
"081218","08:44:38","648364945","test","2","prime_trump","40","5","26","1","660","66","57"
"081218","08:44:38","648364945","test","2","prime_trump","41","1","69","1","506","66","59"
"081218","08:44:38","648364945","test","2","prime_trump","42","6","34","1","491","66","60"
"081218","08:44:38","648364945","test","2","prime_trump","43","4","12","0","239","66","58"
"081218","08:44:38","648364945","test","2","prime_obama","44","2","72","1","572","68","58"
"081218","08:44:38","648364945","test","2","prime_obama","45","3","4","0","494","65","58"
"081218","08:44:38","648364945","test","2","prime_trump","46","2","15","0","462","65","56"
"081218","08:44:38","648364945","test","2","prime_trump","47","4","57","0","528","65","53"
"081218","08:44:38","648364945","test","2","prime_obama","48","6","36","0","603","61","53"
"081218","08:44:38","648364945","test","2","prime_trump","49","2","38","1","289","61","55"
"081218","08:44:38","648364945","test","2","prime_obama","50","2","54","1","531","63","55"
"081218","08:44:38","648364945","test","2","prime_trump","51","6","8","1","530","63","57"
"081218","08:44:38","648364945","test","2","prime_obama","52","1","64","0","273","60","57"
"081218","08:44:38","648364945","test","2","prime_trump","53","1","52","1","452","60","58"
"081218","08:44:38","648364945","test","2","prime_obama","54","4","32","1","472","62","58"
"081218","08:44:38","648364945","test","2","prime_trump","55","5","58","0","322","62","56"
"081218","08:44:38","648364945","test","2","prime_trump","56","3","19","1","491","62","58"
"081218","08:44:38","648364945","test","2","prime_trump","57","4","14","1","1275","62","59"
"081218","08:44:38","648364945","test","2","prime_obama","58","5","56","0","434","60","59"
"081218","08:44:38","648364945","test","2","prime_obama","59","2","13","1","742","61","59"
"081218","08:44:38","648364945","test","2","prime_obama","60","3","62","1","469","62","59"
"081218","08:44:38","648364945","test","2","prime_obama","61","6","1","0","283","60","59"
"081218","08:44:38","648364945","test","2","prime_obama","62","1","35","0","350","58","59"
"081218","08:44:38","648364945","test","2","prime_obama","63","4","33","0","290","56","59"
"081218","08:44:38","648364945","test","2","prime_obama","64","5","43","0","442","54","59"
"081218","08:44:38","648364945","test","2","prime_trump","65","3","55","1","314","54","60"
"081218","08:44:38","648364945","test","2","prime_trump","66","1","9","0","541","54","58"
"081218","08:44:38","648364945","test","2","prime_obama","67","4","38","0","942","53","58"
"081218","08:44:38","648364945","test","2","prime_trump","68","6","62","1","751","53","60"
"081218","08:44:38","648364945","test","2","prime_obama","69","2","50","1","681","54","60"
"081218","08:44:38","648364945","test","2","prime_obama","70","5","15","0","425","52","60"
"081218","08:44:38","648364945","test","2","prime_trump","71","2","13","0","488","52","58"
"081218","08:44:38","648364945","test","2","prime_obama","72","6","45","1","356","54","58"
"081218","08:44:38","648364945","test","2","prime_obama","73","3","61","1","336","55","58"
"081218","08:00:40","920361217","practice","1","prime_trump_practice","4","0","0","0","1111","0","0"
"081218","08:00:40","920361217","practice","1","prime_obama_practice","5","0","0","0","732","0","0"
"081218","08:00:40","920361217","practice","1","prime_obama_practice","6","0","0","1","934","0","0"
"081218","08:00:40","920361217","practice","1","prime_trump_practice","7","0","0","0","1760","0","0"
"081218","08:00:40","920361217","practice","1","prime_trump_practice","8","0","0","1","1091","0","0"
"081218","08:00:40","920361217","practice","1","prime_obama_practice","9","0","0","0","1080","0","0"
"081218","08:00:40","920361217","practice","1","prime_obama_practice","10","0","0","0","413","0","0"
"081218","08:00:40","920361217","practice","1","prime_trump_practice","11","0","0","1","668","0","0"
"081218","08:00:40","920361217","practice","1","prime_trump_practice","12","0","0","1","513","0","0"
"081218","08:00:40","920361217","practice","1","prime_obama_practice","13","0","0","0","412","0","0"
"081218","08:00:40","920361217","test","2","prime_trump","2","2","12","1","502","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","3","4","38","0","452","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","4","3","71","1","381","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","5","6","42","1","947","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","6","2","51","1","265","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","7","1","72","1","185","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","8","1","48","0","247","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","9","6","17","0","247","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","10","4","39","1","212","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","11","4","66","0","1501","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","12","3","10","0","373","0","100"
