subject,age,gender,AMP_effect_positive_negative,mean_response_amp_posneg,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
431792373,38,Male,0.83,0.444,0.92,NA,0.99,1,6,6,"Yes, use my data",,6,TRUE
433960753,63,female,0,0.111,0.31,0.23,0.79,1,6,6,"Yes, use my data",,6,TRUE
446624219,39,male,0.33,0.833,0.39,0,0.64,7,6,5,"Yes, use my data",,6,TRUE
463882110,20,Female,0.08,0.542,0.39,0.34,0.07,7,2,2,"Yes, use my data",,4,TRUE
464142070,25,female,0.19,0.542,0.53,NA,0.99,7,6,4,"Yes, use my data",,4,TRUE
469341127,25,male,0.03,0.653,-0.06,-0.56,0.76,7,6,4,"Yes, use my data",,4,TRUE
474334397,53,female,-0.39,0.611,0.06,-0.01,0.14,7,3,2,"Yes, use my data",,5,TRUE
475587649,40,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
477795391,19,female,0.86,0.431,0.5,0.25,0.46,7,5,2,"Yes, use my data",,5,TRUE
487639637,41,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
487741973,30,female,0.83,0.5,0.72,0.67,0.88,6,6,6,"Yes, use my data",,6,TRUE
491513110,60,female,-0.14,0.931,-0.03,-0.03,0,7,1,1,"Yes, use my data",,1,TRUE
494116681,45,female,-0.08,0.514,0.08,0.08,0,7,1,1,"Yes, use my data",,2,TRUE
498350692,38,Female,0.39,0.472,0.44,0.04,0.39,3,4,2,"Yes, use my data",,2,TRUE
512852936,25,female,-0.03,0.486,0.03,-0.38,0.31,7,3,1,"Yes, use my data",,4,TRUE
513345010,41,female,0.03,0.597,0.14,0.14,0,7,1,1,"Yes, use my data",,2,TRUE
515307612,51,male,-0.31,0.542,0.22,0.13,0.1,7,3,1,"Yes, use my data",,3,TRUE
524847251,33,Female,0.31,0.625,0.42,0.09,0.21,7,3,6,"Yes, use my data",,5,TRUE
525193025,34,Female,0.06,0.833,0.14,0.06,0.08,7,2,1,"Yes, use my data",,4,TRUE
558267198,33,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
568258466,44,Female,0.64,0.375,0.58,0.2,0.9,7,6,7,"Yes, use my data",,7,TRUE
582637350,27,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
583624293,42,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
589498455,29,female,-0.08,0.431,0.75,NA,0.99,7,7,1,"Yes, use my data",,7,TRUE
590008967,37,female,0.75,0.625,0.72,0.89,0.5,7,6,7,"Yes, use my data",,6,TRUE
600769455,23,female,0.47,0.514,0.78,0.76,0.1,2,2,2,"Yes, use my data",,3,TRUE
601113332,48,female,-0.17,0.139,0.17,0.17,0,7,1,1,"Yes, use my data",,1,TRUE
601178662,42,female,0,0,0,0,0.21,6,2,2,"Yes, use my data",,2,TRUE
603072255,38,female,0.42,0.625,0.72,-0.12,0.82,7,5,4,"Yes, use my data",,4,TRUE
608020386,30,female,0.81,0.569,0.78,0.86,0.88,7,5,4,"Yes, use my data",,3,TRUE
608526962,29,male,0.03,0.347,-0.19,-0.19,0,4,1,7,"Yes, use my data",,1,TRUE
626816346,23,Female,-0.06,0.139,0.03,0.01,0.06,7,2,2,"Yes, use my data",,2,TRUE
627533922,39,female,-0.03,0.542,0.14,-0.05,0.43,6,4,2,"Yes, use my data",,3,TRUE
637784548,21,Male,0,0.444,-0.14,-0.14,0,7,1,1,"Yes, use my data",,2,TRUE
642571861,29,male,-0.17,0.556,0.33,0.06,0.28,7,2,1,"Yes, use my data",,2,TRUE
644857832,24,Male,0.33,0.75,0.08,-0.21,0.22,7,3,2,"Yes, use my data",,4,TRUE
648546876,23,Female,0.03,0.542,0.03,0.04,0.01,7,2,1,"Yes, use my data",,2,TRUE
649949448,26,female,0.75,0.458,0.78,0.67,0.25,5,4,3,"Yes, use my data",,3,TRUE
651077529,27,male,-0.06,0.639,-0.14,-0.28,0.18,7,2,2,"Yes, use my data",,2,TRUE
652338457,49,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
654107985,36,Male,0,0.528,-0.08,-0.08,0,7,2,1,"Yes, use my data",,1,TRUE
662593661,47,male,-0.03,0.597,-0.17,-0.17,0,7,1,1,"Yes, use my data",,2,TRUE
664958237,35,Female,0.58,0.431,0.64,0.17,0.9,7,6,5,"Yes, use my data",,6,TRUE
671481412,31,female,0.64,0.681,0.67,0.63,0.71,NA,4,4,"Yes, use my data",,4,FALSE
675958720,29,m,0,0.5,0.19,-0.32,0.36,7,4,1,"Yes, use my data",,4,TRUE
688527417,22,Female,0.31,0.569,0.19,0.08,0.15,7,3,1,"Yes, use my data",,2,TRUE
688557942,39,Female,0.61,0.639,0.36,0.08,0.29,7,3,2,"Yes, use my data",,2,TRUE
689198556,24,female,0.75,0.375,0.61,0.33,0.74,4,6,4,"Yes, use my data",,4,TRUE
689281609,27,Male,0.14,0.347,0.28,0.28,0,7,1,1,"Yes, use my data",,2,TRUE
691114029,19,Male,0.5,0.583,0.83,NA,0.97,7,6,4,"Yes, use my data",,4,TRUE
694193812,28,Female,0.58,0.625,0.56,-0.11,0.64,1,5,2,"Yes, use my data",,3,TRUE
698612986,48,female,-0.08,0.486,0.08,-0.01,0.14,7,3,1,"Yes, use my data",,2,TRUE
698994348,50,male,0,0.583,-0.03,-0.67,0.94,3,6,6,"Yes, use my data",,6,TRUE
704053711,26,Female,0.03,0.486,0.33,-0.09,0.5,7,4,4,"Yes, use my data",,5,TRUE
708502976,43,m,0.58,0.403,0.75,NA,1,7,7,7,"Yes, use my data",,7,TRUE
709057711,27,F,-0.03,0.569,-0.14,1,0.96,4,4,3,"Yes, use my data",,5,TRUE
710030814,39,male,0.17,0.472,0.14,-0.01,0.15,7,2,2,"Yes, use my data",,3,TRUE
710850498,27,female,0.06,0.667,0.42,0.28,0.32,7,2,1,"Yes, use my data",,2,TRUE
722688639,23,Male,0,1,0,0,0,3,1,1,"No, exclude my data (please specify why):","I find all Chinese characters aesthetically attractive and hit pleasant for all of them. I think that the intention of the study was to see whether the images before/after influenced the participants view of the character which I completely disregarded. Therefore, my data is not very useful (if that is the goal of the study). ",1,TRUE
725161810,30,Male,0.83,0.472,0.14,0.43,0.81,7,5,1,"Yes, use my data",,5,TRUE
726957240,21,Female,0.39,0.472,0.5,0.14,0.49,4,3,2,"Yes, use my data",,3,TRUE
736176140,41,Male,0.89,0.5,0.92,NA,1,7,7,7,"Yes, use my data",,7,TRUE
736272791,24,f,-0.08,0.597,-0.03,-0.32,0.26,7,4,2,"Yes, use my data",,5,TRUE
744186913,59,male,0.25,0.514,-0.22,-0.22,0,7,1,1,"Yes, use my data",,1,TRUE
745230009,29,Female,0.08,0.653,0.28,-0.15,0.39,7,3,1,"Yes, use my data",,2,TRUE
746338923,34,34,0,1,0,0,0,7,1,1,"Yes, use my data",,1,TRUE
752626183,23,male,-0.19,0.681,0.56,0.24,0.4,6,4,2,"Yes, use my data",,4,TRUE
753948021,19,male,0.06,0.556,0.03,-0.45,0.39,7,3,3,"Yes, use my data",,4,TRUE
754556216,27,female,0.03,0.486,0.17,0.13,0.32,7,4,2,"Yes, use my data",,3,TRUE
