"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"062320","13:11:24","771184092","770223978","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","29","1","3719","0"
"062320","13:11:24","771184092","770223978","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4676","0"
"062320","06:11:54","77487590","653135854","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e8306b7a09eb40124aa9e3b","1","9239","0"
"062320","06:11:54","77487590","653135854","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","21","1","3241","0"
"062320","06:11:54","77487590","653135854","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4573","0"
"062320","13:11:52","847054446","895428053","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ed97291fac0cc510c9bb3f2","1","43147","0"
"062320","13:11:52","847054446","895428053","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","4301","0"
"062320","13:11:52","847054446","895428053","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","4515","0"
"062320","13:11:30","871848190","524602883","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ed7d4019c64e70c16dc327a","1","131246","0"
"062320","13:11:30","871848190","524602883","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","3033","0"
"062320","13:11:30","871848190","524602883","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","3207","0"
"062320","13:15:30","458997385","830058806","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5edd2d699c9855a147178414","1","10203","0"
"062320","13:15:30","458997385","830058806","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","18","1","3088","0"
"062320","13:15:30","458997385","830058806","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","2856","0"
"062320","13:18:01","35400445","907624318","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5bfc33ed19f26a0001403e5d","1","7851","0"
"062320","13:18:01","35400445","907624318","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","28","1","2121","0"
"062320","13:18:01","35400445","907624318","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","2271","0"
"062320","13:16:41","122237785","207164446","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5c4b9097620ba700010be9f1","1","10615","0"
"062320","13:16:41","122237785","207164446","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","18","1","5412","0"
"062320","13:16:41","122237785","207164446","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","5993","0"
"062320","13:15:02","293714067","734906809","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ce81cddbbc8bd0","1","113330","0"
"062320","13:15:02","293714067","734906809","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","48","1","4105","0"
"062320","13:15:02","293714067","734906809","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","5699","0"
"062320","13:17:09","925655993","998523380","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ee89eb2327fba1a6d0d117c","1","12434","0"
"062320","13:17:09","925655993","998523380","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","20","1","3243","0"
"062320","13:17:09","925655993","998523380","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4610","0"
"062320","22:17:09","664494071","267309216","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ed379ed144351319eed165f","1","14119","0"
"062320","22:17:09","664494071","267309216","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","28 ","1","6145","0"
"062320","22:17:09","664494071","267309216","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","4847","0"
"062320","13:17:10","905867778","18609736","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e89254cb739115c38220fda","1","59052","0"
"062320","13:17:10","905867778","18609736","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","22","1","3374","0"
"062320","13:17:10","905867778","18609736","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","5718","0"
"062320","13:17:26","573453821","977376946","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5eed34b83ba31315accaea50","1","60857","0"
"062320","13:17:26","573453821","977376946","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","3671","0"
"062320","13:17:26","573453821","977376946","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3140","0"
"062320","13:18:54","486651729","371631936","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e9491b5cb8df52f2614cf66","1","13581","0"
"062320","13:18:54","486651729","371631936","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","2257","0"
"062320","13:18:54","486651729","371631936","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","3548","0"
"062320","08:24:31","34175308","424105809","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ee3d14537ab2c0a5e344d98","1","17523","0"
"062320","08:24:31","34175308","424105809","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","24","1","2840","0"
"062320","08:24:31","34175308","424105809","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","4023","0"
"062320","13:26:53","449448526","787702166","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5eec48a2a0a86044492efa67","1","14696","0"
"062320","13:26:53","449448526","787702166","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","21","1","3355","0"
"062320","13:26:53","449448526","787702166","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3779","0"
"062320","13:27:00","910306346","440758896","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ee92b5263f35a14af1e","1","55731","0"
"062320","13:27:00","910306346","440758896","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","34","1","5473","0"
"062320","13:27:00","910306346","440758896","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3090","0"
"062320","13:27:56","607722580","157964784","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5db02d87ed331a00134","1","38122","0"
"062320","13:27:56","607722580","157964784","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","21","1","2083","0"
"062320","13:27:56","607722580","157964784","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","4089","0"
"062320","13:28:44","775538635","578826315","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ecac697f9abb5240d3468d4","1","19627","0"
"062320","13:28:44","775538635","578826315","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","23","1","2548","0"
"062320","13:28:44","775538635","578826315","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","3630","0"
