"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"103019","07:49:48","226566957","837906463","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5da812b2e627d7001017ae7d","1","14247"
"103019","07:49:48","226566957","837906463","5.0.14.0","1","2","demographics","age","0","0","0","0","21","1","2644"
"103019","07:49:48","226566957","837906463","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3003"
"103019","12:51:42","740257063","986316227","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","59064aaa6a12d70001f0aa1b","1","5985"
"103019","12:51:42","740257063","986316227","5.0.14.0","1","2","demographics","age","0","0","0","0","23","1","3324"
"103019","12:51:42","740257063","986316227","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","4747"
"103019","12:50:40","638353373","200642476","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d92674f30a9a700130bdd3d","1","76520"
"103019","12:50:40","638353373","200642476","5.0.14.0","1","2","demographics","age","0","0","0","0","26","1","4718"
"103019","12:50:40","638353373","200642476","5.0.14.0","1","3","demographics","gender","0","0","0","0","FEMALE","1","40480"
"103019","08:52:32","115560551","324751192","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d82f39249c4070019e969db","1","16525"
"103019","08:52:32","115560551","324751192","5.0.14.0","1","2","demographics","age","0","0","0","0","26","1","4940"
"103019","08:52:32","115560551","324751192","5.0.14.0","1","3","demographics","gender","0","0","0","0","m","1","3032"
"103019","08:52:24","191378403","869145809","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5cf8791c9a6b5600150360a1","1","17779"
"103019","08:52:24","191378403","869145809","5.0.14.0","1","2","demographics","age","0","0","0","0","36","1","3785"
"103019","08:52:24","191378403","869145809","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5594"
"103019","08:52:59","249352544","458543186","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d4236a20799c40001d2ac40","1","13119"
"103019","08:52:59","249352544","458543186","5.0.14.0","1","2","demographics","age","0","0","0","0","31","1","5979"
"103019","08:52:59","249352544","458543186","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5398"
"103019","12:52:49","587225167","83086372","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5db2e29357208e00095f0117","1","17137"
"103019","12:52:49","587225167","83086372","5.0.14.0","1","2","demographics","age","0","0","0","0","30","1","2725"
"103019","12:52:49","587225167","83086372","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5251"
"103019","08:51:58","276063162","838352248","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5da738c2fbeead001454c0af","1","27790"
"103019","08:51:58","276063162","838352248","5.0.14.0","1","2","demographics","age","0","0","0","0","55","1","3462"
"103019","08:51:58","276063162","838352248","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","6998"
"103019","08:53:43","712894325","922084966","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5da9fec949bab300155afb7f","1","8836"
