subject,age,gender,AMP_effect_positive_negative,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
518279437,47,male,0.11,0.33,0.16,0.32,4,4,4,"Yes, use my data",,4,TRUE
528499232,38,Female,0.25,0.06,0.06,0,6,3,2,"Yes, use my data",,2,TRUE
551921491,18,Male,0.19,0.03,0.05,0.15,7,3,1,"Yes, use my data",,2,TRUE
559981693,19,male,0.06,0.11,0.44,0.64,7,5,5,"Yes, use my data",,4,TRUE
582243464,35,Male,0.31,0.03,0.03,0.26,7,3,3,"Yes, use my data",,3,TRUE
618105897,22,Male,0.08,0.31,0.33,0.19,7,3,1,"Yes, use my data",,1,TRUE
632320163,21,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
638862874,34,Female,0.5,0.81,0.55,0.82,7,3,2,"Yes, use my data",,2,TRUE
649533327,24,Male ,0.19,0.06,0,0.19,7,3,2,"Yes, use my data",,4,TRUE
650106134,22,Male,0.25,0.03,0,0.06,7,2,1,"Yes, use my data",,1,TRUE
650156029,55,Male,0,0,0,0,6,1,1,"Yes, use my data",,2,TRUE
657829893,40,female,0.31,0.5,0.08,0.53,7,5,4,"Yes, use my data",,6,TRUE
660175383,18,Female,0.08,0.22,0.18,0.19,7,2,1,"Yes, use my data",,2,TRUE
666441811,31,male,0.08,0.17,0.08,0.12,7,2,1,"Yes, use my data",,1,TRUE
678936250,46,female,0.44,0.19,0.16,0.15,7,4,4,"No, exclude my data (please specify why):",well i the images flashed too fast. i couldnt se the chinese symbols and sometimes i couldnt see the pivtures. My judgment wasnt always a true answer.,4,TRUE
681018145,30,Male,0.11,0.33,0.11,0.39,7,3,2,"Yes, use my data",,2,TRUE
702092035,20,Female,0.03,0.06,0.11,0.1,7,2,1,"Yes, use my data",,1,TRUE
712066633,20,male,0.17,0.14,0.02,0.1,7,3,2,"Yes, use my data",,2,TRUE
716180668,22,female,0.67,0.5,0.38,0.35,7,4,2,"Yes, use my data",,5,TRUE
720346584,25 ,female,0.92,0.03,NA,0.96,6,6,6,"Yes, use my data",,3,TRUE
729743135,18,male,0.03,0.28,0.27,0.39,7,4,1,"Yes, use my data",,5,TRUE
731336277,42,female,0.58,0.92,0.57,0.42,7,7,6,"Yes, use my data",,6,TRUE
733722337,25,Male,0.19,0.06,0.07,0.28,7,4,1,"Yes, use my data",,2,TRUE
737173805,34,male,0.72,0.53,0.58,0.33,7,4,7,"No, exclude my data (please specify why):",Not sure if did the test correct. I basically just used the image before the chinese symbol to determine if pleasant or unpleasant.  I do think my data can be useful though. Up to you. ,3,TRUE
751341253,20,male,0.03,0.03,0.01,0.11,6,2,1,"Yes, use my data",,3,TRUE
752800955,32,Male,0.06,0.08,0.09,0.01,7,2,1,"Yes, use my data",,1,TRUE
759213201,33,Female,0.83,0.11,0.02,0.51,3,6,5,"Yes, use my data",,6,TRUE
774063942,49,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
804554224,25,female,0.94,0.92,NA,0.96,7,6,6,"Yes, use my data",,2,TRUE
820311677,63,female,0.81,0.86,0.75,0.79,6,6,6,"Yes, use my data",,6,TRUE
832491346,29,male,0.56,0.03,0.02,0.15,1,2,4,"Yes, use my data",,5,TRUE
836278210,48,Female,0.31,0.06,0.24,0.32,7,3,2,"Yes, use my data",,2,TRUE
837906463,21,Male,0.5,0.22,0.13,0.36,7,5,3,"Yes, use my data",,4,TRUE
838352248,55,female,0.03,0.25,0.26,0.29,7,4,2,"Yes, use my data",,3,TRUE
841961967,28,Female,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
859652210,25,female,0.03,0.08,0.09,0.18,7,2,2,"No, exclude my data (please specify why):",I do not feel that I was able to determine what counted as a more appealing character. To me they were all just symbols,3,TRUE
867638461,49,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
869145809,36,female,0.53,0.78,0.53,0.71,7,6,2,"Yes, use my data",,5,TRUE
874754605,46,Male,0.06,0.22,0.22,0,NA,NA,NA,NA,NA,NA,FALSE
877771129,21,Female,0,0.22,0.24,0.15,7,2,1,"Yes, use my data",,2,TRUE
892525113,32,Male,0.06,0.25,0.07,0.19,7,3,2,"Yes, use my data",,5,TRUE
892908182,50,female,0.86,0.92,1,0.71,4,5,5,"Yes, use my data",,6,TRUE
912891039,23,Female,0.06,0,0.05,0.31,6,4,3,"Yes, use my data",,5,TRUE
922084966,45,f,0,0.03,0.03,0,6,6,1,"Yes, use my data",,7,TRUE
925047183,58,female,0.92,0.86,0.67,0.54,7,6,5,"Yes, use my data",,6,TRUE
934359111,33,female,0.67,0.06,0.06,0,7,2,5,"Yes, use my data",,4,TRUE
947483956,22,Female,0.22,0.36,0.13,0.43,7,4,2,"Yes, use my data",,3,TRUE
950544410,37 ,Female,0.83,0.22,0.33,0.67,7,5,5,"Yes, use my data",,4,TRUE
958257953,23,female,0.19,0.17,0.07,0.47,7,4,2,"Yes, use my data",,5,TRUE
975497657,40,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
978640849,29,male,0.39,0.67,0,0.74,4,5,3,"Yes, use my data",,4,TRUE
981702513,34,F,0.06,0.08,0.18,0.12,7,3,1,"Yes, use my data",,3,TRUE
986316227,23,Female,0,0.11,0.08,0.19,7,2,1,"Yes, use my data",,3,TRUE
986671127,55,male,0.22,0.31,0.16,0.26,7,2,1,"Yes, use my data",,2,TRUE
989421210,27,Male,0.08,0.03,0.05,0.01,7,2,1,"Yes, use my data",,2,TRUE
997907784,29,Female,0.81,0.25,0.28,0.43,7,4,4,"Yes, use my data",,3,TRUE
281898249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
873335613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
